date, waterlevel
5/28/1959   , 1.0104   
6/18/1959   , 0.6116   
10/18/1959  ,  0.5237 
11/17/1959  ,  0.5268 
12/18/1959  ,  0.6055 
1/18/1960   , 0.7092   
2/17/1960   , 0.7793   
3/18/1960   , 0.8499   
4/18/1960   , 0.8992   
5/10/1960   , 0.7955   
6/22/1960   , 0.7628   
7/18/1960   , 0.6396   
8/18/1960   , 0.6162   
9/18/1960   , 0.4491   
10/18/1960  ,  0.4344 
11/18/1960  ,  0.5176 
12/15/1960  ,  0.6193 
1/31/1961   , 0.7437   
2/20/1961   , 0.8297   
3/18/1961   , 1.0551   
4/18/1961   , 1.4371   
10/18/1961  ,  1.5042 
11/18/1961  ,  1.2619 
12/16/1961  ,  1.0418 
2/26/1962   , 0.5075   
3/18/1962   , 0.6055   
4/18/1962   , 0.7610   
5/18/1962   , 0.6797   
6/18/1962   , 0.8718   
7/18/1962   , 1.3061   
8/18/1962   , 1.0642   
9/18/1962   , 1.3168   
10/26/1962  ,  2.1291 
11/18/1962  ,  1.8222 
12/18/1962  ,  1.5149 
1/18/1963   , 0.9393   
2/15/1963   , 1.1326   
3/18/1963   , 0.9876   
4/18/1963   , 0.7442   
5/18/1963   , 0.9286   
6/18/1963   , 1.1252   
7/18/1963   , 0.9896   
8/18/1963   , 0.8250   
9/18/1963   , 1.5362   
10/18/1963  ,  1.3477 
11/25/1963  ,  1.4123 
12/15/1963  ,  1.4702 
1/18/1964   , 1.5291   
2/17/1964   , 1.3167   
3/15/1964   , 1.0863   
5/31/1964   , 1.1034   
6/15/1964   , 1.1664   
7/18/1964   , 0.9078   
8/18/1964   , 0.7930   
9/18/1964   , 1.0495   
10/18/1964  ,  2.1580 
11/30/1964  ,  2.5085 
12/8/1964   , 2.2860   
1/18/1965   , 1.2284   
2/17/1965   , 1.1080   
3/15/1965   , 1.2639   
4/18/1965   , 0.5527   
5/31/1965   , 0.0030   
6/30/1965   , 1.0211   
7/15/1965   , 0.9784   
8/31/1965   , 0.9144   
9/18/1965   , 1.0454   
1/18/1966   , 1.7125   
2/14/1966   , 1.5507   
3/18/1966   , 1.5352   
4/18/1966   , 1.0226   
5/18/1966   , 0.9088   
6/18/1966   , 1.4935   
7/18/1966   , 2.1158   
8/18/1966   , 2.0152   
9/18/1966   , 1.6175   
10/18/1966  ,  1.8522 
11/15/1966  ,  1.8849 
12/18/1966  ,  1.3838 
1/18/1967   , 1.0663   
2/17/1967   , 0.8052   
3/18/1967   , 0.5344   
4/8/1967    , .4054   
5/31/1967   , 0.0701   
6/18/1967   , 0.8834   
7/18/1967   , 1.2436   
8/15/1967   , 0.8589   
10/31/1967  ,  1.6794 
11/18/1967  ,  1.7851 
12/18/1967  ,  0.9545 
1/18/1968   , 0.6208   
2/17/1968   , 0.4724   
3/18/1968   , 0.3160   
5/18/1968   , 0.4740   
6/28/1968   , 2.2327   
7/20/1968   , 1.9609   
8/18/1968   , 1.6352   
9/15/1968   , 1.7983   
10/17/1968  ,  2.7127 
11/28/1968  ,  1.9507 
12/31/1968  ,  1.0150 
1/18/1969   , 1.3213   
3/31/1969   , 1.4173   
4/18/1969   , 1.2091   
5/18/1969   , 1.2730   
6/8/1969    , .5271   
7/18/1969   , 1.4448   
8/15/1969   , 1.1887   
9/18/1969   , 0.9182   
11/20/1969  ,  1.7276 
12/16/1969  ,  1.4850 
1/12/1970   , 1.1049   
2/17/1970   , 0.9936   
3/15/1970   , 1.1847   
4/18/1970   , 0.9505   
5/31/1970   , 0.5456   
6/20/1970   , 0.9835   
7/18/1970   , 1.1145   
8/15/1970   , 0.7102   
9/20/1970   , 0.4686   
10/25/1970  ,  0.6838 
11/18/1970  ,  0.3561 
12/18/1970  ,  -0.0549
1/18/1971   , -0.2774  
2/17/1971   , -0.3338  
3/15/1971   , -0.5100  
4/18/1971   , -0.7778  
5/18/1971   , -0.7153  
6/18/1971   , -0.5278  
7/16/1971   , -0.5285  
8/18/1971   , -0.4938  
9/8/1971    , 0.3414  
10/18/1971  ,  0.2144 
11/18/1971  ,  0.6127 
12/18/1971  ,  0.1956 
1/18/1972   , -0.0239  
2/17/1972   , 0.0848   
3/18/1972   , -0.1072  
4/18/1972   , 0.1707   
5/18/1972   , 0.2144   
6/18/1972   , 0.8656   
7/18/1972   , 0.6858   
8/18/1972   , 0.6436   
9/18/1972   , 0.8407   
10/15/1972  ,  0.6968 
11/30/1972  ,  0.4755 
12/18/1972  ,  0.3317 
1/18/1973   , 0.1925   
2/17/1973   , 0.0046   
3/18/1973   , -0.3251  
4/18/1973   , -0.5654  
5/18/1973   , -0.6320  
10/16/1973  ,  0.8950 
11/16/1973  ,  0.5981 
12/16/1973  ,  0.3881 
1/16/1974   , 0.4415   
2/14/1974   , 0.4427   
3/16/1974   , 0.2362   
4/16/1974   , -0.2102  
5/16/1974   , -0.2275  
6/16/1974   , -0.2275  
7/16/1974   , -0.3747  
8/16/1974   , -0.2666  
9/16/1974   , -0.3405  
10/16/1974  ,  1.2163 
11/16/1974  ,  0.6677 
12/16/1974  ,  0.4149 
1/16/1975   , -0.0669  
2/14/1975   , -0.4398  
3/16/1975   , -0.7852  
4/16/1975   , -1.0938  
5/16/1975   , -0.9937  
6/16/1975   , -0.3321  
7/16/1975   , -0.0211  
8/16/1975   , -0.2152  
9/16/1975   , -0.3634  
10/16/1975  ,  -0.0210
11/16/1975  ,  0.1423 
12/16/1975  ,  -0.1421
1/16/1976   , -0.3951  
2/15/1976   , -0.6429  
3/16/1976   , -0.3041  
4/16/1976   , -0.7446  
5/16/1976   , -0.6909  
6/16/1976   , 0.1293   
7/16/1976   , 0.0863   
8/16/1976   , -0.1823  
9/16/1976   , 0.0436   
10/16/1976  ,  0.0339 
11/16/1976  ,  0.1639 
12/16/1976  ,  0.0720 
1/16/1977   , 0.0086   
2/14/1977   , -0.1202  
3/16/1977   , -0.4055  
4/16/1977   , -0.4605  
5/16/1977   , -0.0369  
6/16/1977   , 0.3705   
7/16/1977   , -0.0692  
8/16/1977   , -0.2271  
9/16/1977   , 0.4403   
10/16/1977  ,  0.2554 
11/16/1977  ,  0.2037 
12/16/1977  ,  0.4721 
1/16/1978   , 0.3037   
2/14/1978   , 0.2659   
3/16/1978   , 0.0900   
4/16/1978   , -0.1554  
5/16/1978   , -0.1443  
6/16/1978   , -0.1724  
7/16/1978   , -0.2891  
8/16/1978   , -0.1586  
9/16/1978   , -0.3787  
10/16/1978  ,  -0.2938
11/16/1978  ,  0.2149 
12/16/1978  ,  -0.0210
1/16/1979   , 0.0069   
2/14/1979   , -0.1771  
3/16/1979   , -0.7247  
4/16/1979   , -0.8592  
5/16/1979   , 0.5279   
6/16/1979   , 0.2938   
7/16/1979   , -0.2511  
8/16/1979   , -1.0405  
9/16/1979   , -0.6051  
10/16/1979  ,  -0.1443
11/16/1979  ,  0.1321 
12/16/1979  ,  0.0158 
1/16/1980   , -0.3565  
2/15/1980   , -0.5501  
3/16/1980   , -0.7658  
4/16/1980   , -0.6828  
5/16/1980   , -0.8823  
6/16/1980   , -0.9029  
7/16/1980   , -0.6462  
8/16/1980   , -0.8176  
9/16/1980   , -0.8832  
10/16/1980  ,  -0.7970
11/16/1980  ,  -0.6540
12/16/1980  ,  -0.5179
1/16/1981   , -0.7572  
2/14/1981   , -0.8257  
3/16/1981   , -0.9053  
4/16/1981   , -1.5651  
5/16/1981   , -1.3982  
6/16/1981   , -0.7175  
7/14/1981   , -0.8751  
8/26/1981   , 0.0783   
9/26/1981   , 0.7094   
10/16/1981  ,  0.4519 
11/16/1981  ,  0.2210 
12/16/1981  ,  -0.2518
1/16/1982   , -0.5630  
2/14/1982   , -0.6656  
3/16/1982   , -0.7020  
4/16/1982   , -0.7169  
5/16/1982   , -0.3329  
6/16/1982   , 0.5767   
7/16/1982   , 0.2916   
8/16/1982   , -0.1031  
9/16/1982   , -0.2172  
10/16/1982  ,  0.0379 
11/16/1982  ,  0.5055 
12/16/1982  ,  0.3536 
1/16/1983   , 0.1198   
2/14/1983   , 0.8143   
3/16/1983   , 1.0764   
4/16/1983   , 0.4930   
5/16/1983   , -0.1647  
6/16/1983   , 0.1023   
7/16/1983   , -0.1894  
8/16/1983   , 0.1595   
9/16/1983   , 0.9361   
10/16/1983  ,  1.0272 
11/16/1983  ,  0.9158 
12/16/1983  ,  0.9120 
1/16/1984   , 0.7372   
2/15/1984   , 0.3025   
3/16/1984   , -0.0377  
4/16/1984   , 0.1310   
5/16/1984   , 0.0283   
6/16/1984   , 0.9671   
7/16/1984   , 0.4947   
8/16/1984   , 0.1557   
9/16/1984   , 0.1062   
10/16/1984  ,  0.1794 
11/16/1984  ,  0.1255 
12/16/1984  ,  0.0196 
1/16/1985   , -0.3068  
2/14/1985   , -0.6301  
3/16/1985   , -0.8318  
4/16/1985   , -0.7685  
5/16/1985   , -0.7399  
6/16/1985   , -0.8413  
7/16/1985   , -0.3640  
8/16/1985   , 0.1332   
9/16/1985   , 0.5583   
10/16/1985  ,  0.6020 
11/16/1985  ,  0.3658 
12/16/1985  ,  0.2021 
1/16/1986   , 0.1344   
2/14/1986   , 0.1255   
3/16/1986   , 0.2323   
4/16/1986   , 0.5311   
5/16/1986   , 0.0292   
6/16/1986   , 0.1547   
7/16/1986   , 0.1979   
8/16/1986   , 0.1596   
9/16/1986   , 0.0262   
10/16/1986  ,  -0.0171
11/16/1986  ,  0.1902 
12/16/1986  ,  0.3433 
1/16/1987   , 0.2105   
2/14/1987   , 0.2558   
3/16/1987   , 0.4098   
4/16/1987   , 0.2494   
5/16/1987   , 0.2000   
6/16/1987   , 0.0782   
7/16/1987   , 0.0010   
8/16/1987   , -0.1173  
9/16/1987   , -0.2063  
10/16/1987  ,  0.6735 
11/16/1987  ,  0.9394 
12/16/1987  ,  0.8346 
1/16/1988   , 0.5356   
2/15/1988   , 0.2515   
3/16/1988   , 0.0754   
4/16/1988   , -0.2060  
5/16/1988   , -0.2322  
6/16/1988   , 0.4745   
7/16/1988   , 0.8309   
8/16/1988   , 0.9563   
9/16/1988   , 0.7684   
10/16/1988  ,  0.2737 
11/16/1988  ,  0.1878 
12/16/1988  ,  0.2036 
1/16/1989   , 0.0289   
2/14/1989   , -0.2188  
3/16/1989   , -0.2262  
4/16/1989   , -0.3126  
5/16/1989   , -0.1988  
6/16/1989   , -0.2309  
7/16/1989   , 0.1529   
8/16/1989   , 0.0847   
9/16/1989   , 0.2256   
10/16/1989  ,  0.2931 
11/16/1989  ,  0.2332 
12/16/1989  ,  0.0313 
1/16/1990   , -0.1690  
2/14/1990   , -0.2137  
3/16/1990   , -0.0360  
4/16/1990   , 0.1148   
5/16/1990   , 0.4175   
6/16/1990   , 1.1445   
7/16/1990   , 1.4123   
8/16/1990   , 1.5570   
9/16/1990   , 1.6191   
10/16/1990  ,  1.4797 
11/16/1990  ,  1.1383 
12/16/1990  ,  0.9374 
1/16/1991   , 0.9069   
2/14/1991   , 0.9983   
3/16/1991   , 0.8765   
4/16/1991   , 0.9022   
5/16/1991   , 0.9801   
6/16/1991   , 1.4262   
7/16/1991   , 1.6638   
8/16/1991   , 1.2235   
9/16/1991   , 1.1999   
10/16/1991  ,  1.5067 
11/16/1991  ,  1.2321 
12/16/1991  ,  1.0554 
1/16/1992   , 0.8069   
2/15/1992   , 0.8123   
3/16/1992   , 0.8154   
4/16/1992   , 0.8441   
5/16/1992   , 0.5960   
6/16/1992   , 0.6861   
7/16/1992   , 1.5413   
8/16/1992   , 1.1993   
9/16/1992   , 1.2005   
10/16/1992  ,  0.9757 
11/16/1992  ,  1.3001 
12/16/1992  ,  1.3538 
1/16/1993   , 1.3785   
2/14/1993   , 1.2901   
3/17/1993   , 1.1732   
4/16/1993   , 1.2175   
5/16/1993   , 0.8979   
6/16/1993   , 0.9656   
7/16/1993   , 0.9333   
8/16/1993   , 0.9067   
9/16/1993   , 1.2251   
10/4/1993   , 1.5615   
11/18/1993  ,  1.5884 
12/16/1993  ,  1.0336 
1/12/1994   , 0.8363   
2/14/1994   , 0.8660   
3/16/1994   , 0.7121   
4/16/1994   , 0.4681   
5/16/1994   , 0.3186   
6/16/1994   , 0.7699   
7/16/1994   , 0.6929   
8/16/1994   , 1.0444   
9/16/1994   , 1.2669   
10/16/1994  ,  1.1582 
11/4/1994   , 0.7925   
12/26/1994  ,  1.9891 
1/16/1995   , 1.7911   
2/14/1995   , 1.4466   
3/16/1995   , 1.5080   
4/16/1995   , 1.2646   
5/15/1995   , 1.1208   
6/12/1995   , 1.0896   
7/15/1995   , 1.5921   
8/16/1995   , 2.2110   
9/12/1995   , 2.2096   
10/16/1995  ,  2.3099 
11/16/1995  ,  2.0181 
12/16/1995  ,  1.5837 
1/2/1996    , .3309   
2/16/1996   , 0.8358   
3/16/1996   , 0.7826   
4/16/1996   , 0.7470   
5/16/1996   , 1.1735   
6/16/1996   , 1.6719   
7/16/1996   , 1.8530   
8/16/1996   , 1.2769   
9/16/1996   , 1.5685   
10/16/1996  ,  1.7368 
11/16/1996  ,  1.5218 
12/16/1996  ,  1.0780 
1/16/1997   , 1.2206   
2/8/1997    , .2645   
3/16/1997   , 1.2462   
4/16/1997   , 1.3553   
5/16/1997   , 1.3989   
6/16/1997   , 1.6320   
7/16/1997   , 1.6443   
8/16/1997   , 1.6685   
9/16/1997   , 2.0119   
10/16/1997  ,  1.7696 
11/16/1997  ,  1.1761 
12/16/1997  ,  1.2014 
1/16/1998   , 1.1979   
2/14/1998   , 1.6284   
3/16/1998   , 1.6146   
4/16/1998   , 1.2726   
5/11/1998   , 0.9442   
7/30/1998   , 0.7056   
8/16/1998   , 0.5252   
9/16/1998   , 1.0730   
10/16/1998  ,  1.2654 
11/16/1998  ,  1.5373 
12/16/1998  ,  1.3513 
1/16/1999   , 1.2864   
2/14/1999   , 1.0074   
3/16/1999   , 0.7424   
4/16/1999   , 0.3795   
5/16/1999   , 0.5579   
6/16/1999   , 1.5265   
7/16/1999   , 1.6141   
8/16/1999   , 1.6998   
9/16/1999   , 2.2313   
10/8/1999   , 2.1423   
11/18/1999  ,  2.1720 
12/16/1999  ,  1.7697 
1/16/2000   , 1.2486   
2/15/2000   , 0.9604   
3/16/2000   , 0.8353   
4/16/2000   , 0.8326   
5/16/2000   , 0.6735   
6/16/2000   , 1.1382   
7/16/2000   , 1.2285   
8/16/2000   , 1.1604   
9/16/2000   , 1.1031   
10/16/2000  ,  1.7641 
11/16/2000  ,  1.3826 
12/16/2000  ,  1.1371 
1/16/2001   , 0.9260   
2/14/2001   , 0.8121   
3/16/2001   , 0.9209   
4/16/2001   , 1.2388   
5/16/2001   , 1.3393   
6/16/2001   , 1.6937   
7/16/2001   , 1.8220   
8/18/2001   , 2.2663   
9/16/2001   , 2.2111   
10/12/2001  ,  2.6436 
11/24/2001  ,  2.5494 
12/16/2001  ,  2.1030 
1/16/2002   , 1.7021   
2/14/2002   , 1.5251   
3/16/2002   , 1.4900   
4/16/2002   , 1.1140   
5/16/2002   , 1.0425   
6/16/2002   , 1.5728   
7/17/2002   , 2.5687   
8/16/2002   , 2.1854   
9/16/2002   , 1.9093   
10/16/2002  ,  1.6488 
11/16/2002  ,  1.5407 
12/16/2002  ,  1.6325 
1/16/2003   , 1.4488   
2/14/2003   , 1.1695   
3/16/2003   , 1.2665   
4/15/2003   , 1.3279   
5/16/2003   , 1.7184   
6/16/2003   , 1.9489   
7/16/2003   , 1.6076   
8/16/2003   , 1.5385   
9/16/2003   , 1.7962   
10/16/2003  ,  1.4877 
11/16/2003  ,  1.7369 
12/16/2003  ,  1.5425 
1/16/2004   , 1.4224   
2/13/2004   , 1.8248   
3/16/2004   , 1.5127   
4/16/2004   , 1.4155   
5/16/2004   , 1.2832   
6/16/2004   , 1.0299   
7/16/2004   , 0.9166   
8/16/2004   , 1.2835   
9/16/2004   , 1.6570   
10/16/2004  ,  1.8435 
11/16/2004  ,  1.5743 
12/16/2004  ,  1.2442 
1/16/2005   , 1.0670   
2/14/2005   , 0.8478   
3/16/2005   , 0.9584   
4/16/2005   , 0.8689   
5/16/2005   , 0.8645   
6/16/2005   , 1.5984   
7/16/2005   , 1.6945   
8/16/2005   , 1.4124   
9/16/2005   , 1.5698   
10/16/2005  ,  1.8836 
11/16/2005  ,  2.2723 
12/16/2005  ,  2.2072 